Name,Serving (grams),Calories,Fat,Protein,Carbohydrates,Fiber
apple_pie,100,265,12.5,2.4,37.1,1.6
baby_back_ribs,40,110,7.5,8,2.2,0.1
baklava,76,306,20,5.5,29,1.8
beef_carpaccio,78,181,13,13,2,0.2
beef_tartare,100,210,14.56,17.78,0.63,0.1
beet_salad,113,170,11,6,14,3
beignets,90,262,8.5,6,40,1.3
bibimbap,255,340,6,13,56,3
bread_pudding,100,153,4.74,5.27,23.26,0.9
breakfast_burrito,388,657,28,29,72,2.7
bruschetta,100,153,4.35,4.34,24.33,2.1
caesar_salad,93,130,6,8,11,2
cannoli,100,254,11.04,8.7,28.84,0.7
caprese_salad,155,320,24,9,14,1
carrot_cake,188,610,32,6,77,3
ceviche,100,69,0.79,11.5,3.68,0.5
cheese_plate,170,662,50,45,8.3,0
cheesecake,100,321,22.5,5.5,25.5,0.4
chicken_curry,255,320,12,20,34,3
chicken_quesadilla,113,270,12,16,25,1
chicken_wings,27,88,6.5,4.5,2.6,0.1
chocolate_cake,145,580,34,5,67,3
chocolate_mousse,63,350,11,2,46,3
churros,100,447,28.28,2.79,45.94,0.7
clam_chowder,254,201,10,6.6,21,2.5
club_sandwich,349,17,46,56,45,3.2
crab_cakes,85,190,13,12,7,2
creme_brulee,86,300,19,3,29,1
croque_madame,363,721,38,37,57,2.8
cup_cakes,90,330,12,2,57,2
deviled_eggs,31,70,5,3,1,0.1
donuts,100,426,22.9,5.2,50.8,1.5
dumplings,100,112,2.64,11.55,9.56,0.5
edamame,74,90,2.5,7,10,3
eggs_benedict,139,320,23,9,15,1
escargots,20,83,7.3,10,1,1
falafel,20,83,7.3,1.1,3.7,0.9
filet_mignon,85,227,15,22,0,0
fish_and_chips,513,688,26,43,71,4.8
foie_gras,13,60,5.7,1.5,0.6,0
french_fries,198,304,2,5,49,0
french_onion_soup,100,153,6.86,6.6,16.32,1.2
french_toast,131,220,5,9,36,4
fried_calamari,113,210,5,15,26,1
fried_rice,142,220,2,5,43,2
frozen_yogurt,174,221,6.3,5.2,38,0
garlic_bread,55,170,6,5,25,1
gnocchi,100,133,6.24,2.36,17.04,1
greek_salad,312,190,10,11,13,5
grilled_cheese_sandwich,100,350,19,11.04,33.56,1.5
grilled_salmon,227,468,28,50,0,0
guacamole,100,157,14.31,1.96,8.51,6.6
gyoza,79,120,2.5,7,17,2
hamburger,100,290,11.8,15.71,28.83,1.2
hot_and_sour_soup,100,67,3.24,6.19,2.03,0.1
hot_dog,57,170,14,8,2,0
huevos_rancheros,472,774,57,36,33,8
hummus,100,177,8.59,4.86,20.12,4
ice_cream,132,273,15,4.6,31,0.9
lasagna,100,163,6.01,9.96,17.2,1.3
lobster_bisque,218,232,14,14,8,0.3
lobster_roll_sandwich,254,510,22,42,33,2
macaroni_and_cheese,147,134,6,5,15,1
macarons,22,100,5,2,12,1
miso_soup,241,59,3,5.8,3.5,1.1
mussels,85,146,3.8,20,6.3,0
nachos,550,1234,96,67,26,4
omelette,178,323,25,21,1.4,0.1
onion_rings,170,560,38,6,48,6
oysters,100,68,2.46,7.05,3.91,0
pad_thai,140,260,8,6,40,1
paella,100,158,5.44,9.52,16.68,0.6
pancakes,100,227,9.7,6.4,28.3,0
panna_cotta,100,223,12.33,1.08,23.38,0
peking_duck,275,663,41,30,42,2.6
pho,168,300,1,10,64,6
pizza,100,276,11.74,12.33,30.33,1.9
pork_chop,157,328,17,40,0,0
poutine,245,710,38,19,75,5
prime_rib,100,366,17.32,25.91,0,0
pulled_pork_sandwich,213,572,31,47,22,1
ramen,43,190,7,4,27,1
ravioli,100,178,6.7,8.49,20.22,0.7
red_velvet_cake,100,367,17.18,6.81,46.81,1.4
risotto,100,174,6.43,6.87,21.69,0.3
samosa,71,190,10,4,21,2
sashimi,28,35,1.2,5.3,0.3,0
scallops,100,217,10.96,18.14,10.49,0.5
seaweed_salad,99,80,1,2,17,3
shrimp_and_grits,312,380,19,20,34,4
spaghetti_bolognese,255,250,5,9,41,3
spaghetti_carbonara,140,280,14,11,26,2
spring_rolls,100,98,4.43,3.1,11.63,1
steak,221,614,41,58,0,0
strawberry_shortcake,77,220,12,2,26,1
sushi,100,143,0.42,4.3,29.9,0.8
tacos,102,210,9.9,9.4,21,3
takoyaki,100,175,7.56,8.45,17.77,0.7
tiramisu,100,283,18.2,4.77,24.41,0.9
tuna_tartare,56,98,6.8,7.7,1.9,1
waffles,104.1,241,12.1,5.7,26.6,0.7
